state,state_code,county_code,county,date,timezone,injuries_direct,injuries_indirect,deaths_direct,deaths_indirect,damage,f_scale,length,width,latitude,longitude
IDAHO,16,53,JEROME,08-MAY-13 16:20:00,MST-7,0,0,0,0,0.00K,EF0,1,20,42.8,-114.41
IDAHO,16,39,ELMORE,26-MAY-13 13:10:00,MST-7,0,0,0,0,0.00K,EF0,3.92,50,43.19,-115.88
IDAHO,16,7,BEAR LAKE,07-JUL-13 18:30:00,MST-7,0,0,0,0,0.00K,EF0,1,10,42.23,-111.32
IDAHO,16,43,FREMONT,17-SEP-13 13:45:00,MST-7,0,0,0,0,0.00K,EF0,0.5,10,,
IDAHO,16,33,CLARK,17-SEP-13 13:47:00,MST-7,0,0,0,0,0.00K,EF0,0.5,10,,
ILLINOIS,17,55,FRANKLIN,29-JAN-13 21:38:00,CST-6,0,0,0,0,0.00K,EF0,0.58,75,37.97,-89.11
ILLINOIS,17,165,SALINE,29-JAN-13 22:16:00,CST-6,2,0,0,0,200.00K,EF2,0.97,125,37.84,-88.62
ILLINOIS,17,53,FORD,18-APR-13 07:36:00,CST-6,0,0,0,0,15.00K,EF0,0.57,20,,
ILLINOIS,17,21,CHRISTIAN,09-MAY-13 16:41:00,CST-6,0,0,0,0,0.00K,EF0,0.55,20,39.52,-89.19
ILLINOIS,17,15,CARROLL,19-MAY-13 19:02:00,CST-6,0,0,0,0,0.00K,EF0,0.1,50,42,-89.99
ILLINOIS,17,117,MACOUPIN,20-MAY-13 21:14:00,CST-6,3,0,0,0,0.00K,EF2,0.2,75,39.07,-89.73
ILLINOIS,17,63,GRUNDY,28-MAY-13 19:18:00,CST-6,0,0,0,0,5.00K,EF0,1.85,20,41.26,-88.39
ILLINOIS,17,161,ROCK ISLAND,30-MAY-13 15:44:00,CST-6,0,0,0,0,40.00K,EF0,1.25,150,41.43,-90.73
ILLINOIS,17,195,WHITESIDE,30-MAY-13 16:35:00,CST-6,0,0,0,0,0.00K,EF0,0.57,25,41.66,-89.98
ILLINOIS,17,119,MADISON,31-MAY-13 19:29:00,CST-6,0,0,0,0,0.00K,EF3,8.63,150,38.81,-90.12
ILLINOIS,17,117,MACOUPIN,31-MAY-13 19:49:00,CST-6,0,0,0,0,,EF2,1.47,150,39.13,-89.83
ILLINOIS,17,135,MONTGOMERY,31-MAY-13 20:02:00,CST-6,0,0,0,0,,EF1,4.26,50,39.33,-89.68
ILLINOIS,17,115,MACON,31-MAY-13 21:03:00,CST-6,0,0,0,0,500.00K,EF1,1.99,100,39.86,-88.99
ILLINOIS,17,183,VERMILION,31-MAY-13 22:24:00,CST-6,0,0,0,0,50.00K,EF1,0.49,70,40.02,-87.6
ILLINOIS,17,37,DE KALB,12-JUN-13 15:32:00,CST-6,0,0,0,0,20.00K,EF1,2.27,100,41.73,-88.89
ILLINOIS,17,85,JO DAVIESS,12-JUN-13 17:50:00,CST-6,0,0,0,0,0.00K,EF0,0.5,20,42.22,-90.24
ILLINOIS,17,15,CARROLL,12-JUN-13 17:53:00,CST-6,1,0,0,0,0.00K,EF2,6.6,880,42.17,-90.15
ILLINOIS,17,197,WILL,12-JUN-13 18:50:00,CST-6,0,0,0,0,35.00K,EF0,0.24,50,41.29,-87.91
ILLINOIS,17,73,HENRY,24-JUN-13 15:00:00,CST-6,0,0,0,0,50.00K,EF1,6.21,50,41.43,-90.01
ILLINOIS,17,103,LEE,24-JUN-13 15:32:00,CST-6,0,0,0,0,10.00K,EF0,2.79,100,41.7,-89.56
ILLINOIS,17,11,BUREAU,24-JUN-13 15:33:00,CST-6,0,0,0,0,10.00K,EF0,0.63,75,41.56,-89.34
ILLINOIS,17,29,COLES,29-JUN-13 13:05:00,CST-6,0,0,0,0,4.00K,EF0,0.14,20,39.58,-88.41
ILLINOIS,17,185,WABASH,01-JUL-13 18:41:00,CST-6,0,0,0,0,0.00K,EF0,0.8,50,38.4,-87.89
ILLINOIS,17,191,WAYNE,02-JUL-13 17:55:00,CST-6,0,0,0,0,0.00K,EF0,0.67,50,38.45,-88.28
ILLINOIS,17,99,LA SALLE,01-SEP-13 17:42:00,CST-6,0,0,0,0,0.00K,EF0,1.63,50,,
ILLINOIS,17,3,ALEXANDER,31-OCT-13 18:20:00,CST-6,0,0,0,0,100.00K,EF0,1.24,200,37.3,-89.51
ILLINOIS,17,3,ALEXANDER,31-OCT-13 18:35:00,CST-6,0,0,0,0,10.00K,EF1,2.67,50,37.32,-89.27
ILLINOIS,17,153,PULASKI,31-OCT-13 18:40:00,CST-6,0,0,0,0,10.00K,EF1,3.84,50,37.32,-89.22
ILLINOIS,17,199,WILLIAMSON,31-OCT-13 18:51:00,CST-6,0,0,0,0,40.00K,EF1,6.43,175,37.61,-88.83
ILLINOIS,17,87,JOHNSON,31-OCT-13 18:56:00,CST-6,0,0,0,0,30.00K,EF1,0.7,50,37.33,-88.97
ILLINOIS,17,165,SALINE,31-OCT-13 18:59:00,CST-6,0,0,0,0,70.00K,EF1,3.47,175,37.61,-88.71
ILLINOIS,17,143,PEORIA,17-NOV-13 10:52:00,CST-6,0,0,0,0,40.00K,EF0,0.16,100,40.58,-89.66
ILLINOIS,17,179,TAZEWELL,17-NOV-13 10:53:00,CST-6,10,0,0,0,45.00M,EF2,2.1,100,40.58,-89.65
ILLINOIS,17,179,TAZEWELL,17-NOV-13 10:59:00,CST-6,121,0,3,0,910.00M,EF4,14.16,880,40.62,-89.57
ILLINOIS,17,203,WOODFORD,17-NOV-13 11:12:00,CST-6,4,0,0,0,25.00M,EF3,20.7,880,40.75,-89.35
ILLINOIS,17,117,MACOUPIN,17-NOV-13 11:30:00,CST-6,0,0,0,0,0.00K,EF0,2.11,20,39.23,-89.73
ILLINOIS,17,135,MONTGOMERY,17-NOV-13 11:33:00,CST-6,0,0,0,0,0.00K,EF0,1.87,50,39.26,-89.7
ILLINOIS,17,99,LA SALLE,17-NOV-13 11:33:00,CST-6,0,0,0,0,150.00K,EF2,6.53,200,40.93,-89.04
ILLINOIS,17,105,LIVINGSTON,17-NOV-13 11:41:00,CST-6,0,0,0,0,75.00K,EF2,4.97,200,40.98,-88.93
ILLINOIS,17,105,LIVINGSTON,17-NOV-13 11:43:00,CST-6,0,0,0,0,0.00K,EF0,2.6,50,40.96,-88.93
ILLINOIS,17,27,CLINTON,17-NOV-13 11:47:00,CST-6,0,0,0,0,0.00K,EF1,0.37,50,38.71,-89.52
ILLINOIS,17,189,WASHINGTON,17-NOV-13 12:04:00,CST-6,2,0,2,0,,EF4,10.59,200,38.42,-89.45
ILLINOIS,17,189,WASHINGTON,17-NOV-13 12:13:00,CST-6,0,0,0,0,0.00K,EF1,3.58,100,38.48,-89.25
ILLINOIS,17,21,CHRISTIAN,17-NOV-13 12:15:00,CST-6,0,0,0,0,300.00K,EF1,2.52,100,39.4,-89.08
ILLINOIS,17,27,CLINTON,17-NOV-13 12:16:00,CST-6,0,0,0,0,0.00K,EF0,1.18,20,38.51,-89.19
ILLINOIS,17,51,FAYETTE,17-NOV-13 12:22:00,CST-6,0,0,0,0,0.00K,EF2,8.5,200,39,-88.93
ILLINOIS,17,63,GRUNDY,17-NOV-13 12:22:00,CST-6,5,0,0,0,10.75M,EF2,4.42,200,41.24,-88.3
ILLINOIS,17,79,JASPER,17-NOV-13 12:25:00,CST-6,0,0,0,0,250.00K,EF1,3.53,100,38.85,-88.09
ILLINOIS,17,197,WILL,17-NOV-13 12:26:00,CST-6,0,0,0,0,2.00M,EF2,7.6,200,41.29,-88.25
